               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11056,            0.028301,                   0,          0.00060606,                0.08,          0.00050102,           0.0001369,            0.076411,            0.021317,                   0,              0.0784,              0.0024,              0.0024
                   1,              0.0917,            0.023259,                   0,           0.0015942,                0.44,           0.0018208,          0.00053469,            0.075443,            0.014223,                   0,            0.055838,           0.0048378,           0.0048378
                   2,             0.08277,            0.020632,                   0,           0.0025333,                0.76,           0.0060303,           0.0014568,            0.079272,            0.011017,                   0,            0.033212,           0.0072122,           0.0072122
                   3,            0.077132,            0.018722,                   0,           0.0026667,                 0.8,           0.0099878,           0.0025643,            0.077068,           0.0087381,                   0,            0.010523,            0.009523,            0.009523
                   4,            0.075135,            0.017767,                   0,              0.0032,                0.96,             0.30519,            0.068807,            0.047759,            0.010914,                   0,           0.0094923,           0.0094923,           0.0094923
                   5,            0.066693,            0.018687,                   0,            0.015204,                0.92,             0.48741,             0.16404,            0.048056,           0.0097272,                   0,           0.0094923,           0.0094923,           0.0094923
                   6,            0.058744,            0.019262,                   0,             0.34064,                0.88,             0.78491,             0.34727,             0.04207,           0.0098787,                   0,           0.0093654,           0.0093654,           0.0093654
                   7,            0.055925,            0.018433,                   0,             0.73843,             0.79074,             0.80414,             0.33254,            0.036476,           0.0093565,                   0,           0.0092385,           0.0092385,           0.0092385
                   8,            0.054117,            0.016414,                   0,             0.55322,                0.76,             0.64956,             0.21723,             0.04293,           0.0085044,                   0,           0.0091115,           0.0091115,           0.0091115
                   9,            0.050053,            0.016236,                   0,             0.48532,                0.88,             0.61385,             0.25153,            0.038506,           0.0080537,                   0,           0.0089846,           0.0089846,           0.0089846
                  10,            0.051847,            0.016543,                   0,             0.69087,                 0.8,             0.80553,             0.34379,            0.039335,           0.0075125,                   0,           0.0088577,           0.0088577,           0.0088577
                  11,            0.048324,            0.014828,                   0,             0.88476,                 0.8,             0.87508,             0.43827,            0.034792,           0.0072281,                   0,           0.0087308,           0.0087308,           0.0087308
                  12,            0.047387,            0.013617,                   0,             0.33556,                0.56,             0.37924,             0.13472,            0.044993,           0.0064965,                   0,           0.0086038,           0.0086038,           0.0086038
                  13,            0.044166,            0.014122,                   0,             0.93601,                0.76,             0.82326,             0.31791,            0.033836,           0.0067521,                   0,           0.0084769,           0.0084769,           0.0084769
                  14,            0.044046,            0.013547,                   0,             0.71741,                0.76,              0.7732,             0.36223,            0.035958,            0.006392,                   0,             0.00835,             0.00835,             0.00835
                  15,            0.041406,            0.013288,                   0,              0.9516,             0.78682,             0.92838,             0.47473,            0.026281,             0.00636,                   0,           0.0082231,           0.0082231,           0.0082231
                  16,            0.039325,            0.012039,                   0,             0.91148,                 0.8,             0.91625,             0.43862,            0.029736,           0.0060515,                   0,           0.0080962,           0.0080962,           0.0080962
                  17,            0.039322,            0.011656,                   0,                   1,             0.86738,             0.95048,              0.5019,            0.026956,           0.0057645,                   0,           0.0079692,           0.0079692,           0.0079692
                  18,            0.039896,            0.011127,                   0,             0.99651,                0.88,             0.98115,             0.30574,            0.040004,           0.0050489,                   0,           0.0078423,           0.0078423,           0.0078423
                  19,            0.040365,            0.011241,                   0,                   1,             0.87374,             0.97834,             0.64358,            0.024058,            0.004723,                   0,           0.0077154,           0.0077154,           0.0077154
                  20,            0.038398,             0.01178,                   0,             0.95982,                0.88,             0.96803,             0.35852,            0.035205,           0.0047783,                   0,           0.0075885,           0.0075885,           0.0075885
                  21,            0.035426,            0.010313,                   0,                   1,             0.86857,             0.96574,             0.60645,            0.023728,           0.0046004,                   0,           0.0074615,           0.0074615,           0.0074615
                  22,             0.03597,           0.0091981,                   0,             0.86308,                0.76,             0.85558,             0.37152,            0.035702,           0.0051842,                   0,           0.0073346,           0.0073346,           0.0073346
                  23,            0.033951,           0.0097684,                   0,                   1,             0.83035,             0.97396,             0.45792,            0.028282,           0.0046034,                   0,           0.0072077,           0.0072077,           0.0072077
                  24,            0.034465,           0.0097969,                   0,             0.99122,                0.88,             0.95693,             0.60144,            0.025118,           0.0042825,                   0,           0.0070808,           0.0070808,           0.0070808
                  25,            0.034802,           0.0090255,                   0,                   1,             0.86032,             0.95517,             0.61812,             0.02297,            0.004135,                   0,           0.0069538,           0.0069538,           0.0069538
                  26,            0.036097,           0.0090113,                   0,             0.95999,                0.88,             0.98476,             0.51989,            0.028346,           0.0041115,                   0,           0.0068269,           0.0068269,           0.0068269
                  27,            0.035288,           0.0096079,                   0,             0.91384,                0.96,             0.97803,             0.67382,            0.021936,           0.0040125,                   0,              0.0067,              0.0067,              0.0067
                  28,            0.033963,           0.0088162,                   0,              0.9228,             0.95645,             0.98251,             0.59129,            0.024786,           0.0040679,                   0,           0.0065731,           0.0065731,           0.0065731
                  29,             0.03063,           0.0087176,                   0,             0.95721,             0.89514,             0.98476,             0.66271,            0.020875,           0.0040312,                   0,           0.0064462,           0.0064462,           0.0064462
                  30,            0.031234,           0.0076546,                   0,             0.96078,             0.98023,             0.99038,             0.46178,            0.028812,           0.0039966,                   0,           0.0063192,           0.0063192,           0.0063192
                  31,            0.031525,            0.008664,                   0,                   1,             0.87286,             0.98323,             0.59256,            0.022736,           0.0038678,                   0,           0.0061923,           0.0061923,           0.0061923
                  32,            0.031386,           0.0083638,                   0,                   1,             0.87932,             0.98214,             0.66065,            0.022675,           0.0037813,                   0,           0.0060654,           0.0060654,           0.0060654
                  33,            0.030951,           0.0088247,                   0,             0.88524,                   1,             0.98323,             0.55984,            0.024502,            0.003821,                   0,           0.0059385,           0.0059385,           0.0059385
                  34,            0.032323,           0.0078873,                   0,             0.90119,                0.96,             0.98456,             0.68194,            0.019617,           0.0037626,                   0,           0.0058115,           0.0058115,           0.0058115
                  35,            0.029834,            0.007964,                   0,             0.94804,                0.96,             0.98673,              0.5226,            0.026096,             0.00392,                   0,           0.0056846,           0.0056846,           0.0056846
                  36,            0.028729,           0.0072274,                   0,             0.97729,                0.92,             0.98911,             0.69682,            0.019101,           0.0037198,                   0,           0.0055577,           0.0055577,           0.0055577
                  37,            0.028098,            0.008144,                   0,                   1,             0.91396,             0.99071,             0.59603,            0.023787,           0.0038206,                   0,           0.0054308,           0.0054308,           0.0054308
                  38,            0.026633,           0.0074569,                   0,             0.98945,                0.96,             0.99071,             0.64433,            0.023406,           0.0036565,                   0,           0.0053038,           0.0053038,           0.0053038
                  39,            0.026478,           0.0066666,                   0,             0.88782,                   1,             0.98751,             0.53863,            0.025605,           0.0036272,                   0,           0.0051769,           0.0051769,           0.0051769
                  40,            0.027558,           0.0076705,                   0,             0.95991,             0.95788,             0.99038,             0.56416,            0.024191,           0.0035717,                   0,             0.00505,             0.00505,             0.00505
                  41,            0.027879,           0.0074264,                   0,              0.9351,                0.96,             0.98884,             0.66622,            0.020802,           0.0034742,                   0,           0.0049231,           0.0049231,           0.0049231
